time,x,y,z,w0,w1,w2,w3,vx,vy,vz,roll,pitch,yaw
0,-6.08843705496,-2.68962624217,0,-1.44170135697e-05,0.00158471792657,0.00801640624315,0.999966612289,-0.260126599,3.29703189301e-05,0.0,0,0,0.0238784724106
0,-6.09702781923,-2.6897665015,0,-1.54694951225e-05,0.00158542032454,0.00841079907535,0.99996337166,-0.260584166335,3.38128475139e-05,0.0,0,0,0.0240417365294
0,-6.10563326465,-2.68991383536,0,-1.73434605536e-05,0.00158831427142,0.00881011216326,0.999959928637,-0.261011034651,3.4190010864e-05,0.0,0,0,0.0241854032258
0,-6.11450848421,-2.69007137089,0,-1.82918498205e-05,0.00159275031364,0.00895493555431,0.999958635115,-0.261098043446,1.19171521217e-05,0.0,0,0,0.00717139882723
0,-6.12312063649,-2.69022634621,0,-1.83580460796e-05,0.00159706624353,0.00905468451556,0.999957729972,-0.260863994175,9.36231185124e-06,0.0,0,0,0.00506711141154
0,-6.13171567181,-2.69038286418,0,-1.57756304558e-05,0.00159801490963,0.00910368422276,0.999957283604,-0.259960005346,3.97153950487e-06,0.0,0,0,-0.000579098517742
0,-6.14051657202,-2.69053975196,0,-2.11268382102e-05,0.00160792199343,0.00914139795696,0.999956923564,-0.258971954186,8.59116815877e-05,0.0,0,0,0.00803583505904
0,-6.14907550426,-2.69069705855,0,-1.67312943937e-05,0.0015983803142,0.00933046605829,0.999955192648,-0.259072976045,3.18447738657e-05,0.0,0,0,0.0125416308147
0,-6.15761451332,-2.69085830828,0,-1.49882189702e-05,0.00159582944562,0.00955908860661,0.999953037362,-0.258745048427,3.04045667687e-06,0.0,0,0,0.0141602004562
0,-6.16639259683,-2.69102181988,0,-1.30409778079e-05,0.00159084182172,0.00894083917669,0.999958764373,-0.25859203746,-2.30056827122e-07,0.0,0,0,-0.0425440713717
0,-6.17493179871,-2.69116834379,0,-1.3088929253e-05,0.00158715248506,0.00824258284039,0.999964769681,-0.259007896425,2.95537880289e-06,0.0,0,0,-0.0422193700576
0,-6.18348600181,-2.69130342759,0,-1.30920089905e-05,0.00158521413646,0.00754636667127,0.999970269195,-0.259467609734,-4.45852321472e-06,0.0,0,0,-0.0421769222568
0,-6.19231991309,-2.6914364709,0,-1.40986856989e-05,0.00158468467204,0.00775091474141,0.999968705459,-0.260111469866,3.02225242053e-05,0.0,0,0,0.0161600715998
0,-6.2009109057,-2.69157126492,0,-1.48247546389e-05,0.00158554418619,0.00801569802301,0.99996661665,-0.260597457455,2.52586414701e-05,0.0,0,0,0.016242526961
